"beh","quest","Std_Coefficient","p_val","Std_Coefficient_CI_low","Std_Coefficient_CI_high","rho","p_val_cor"
"dprime_pre","bprs_pos",-0.350353193560928,0.00487811345466657,-0.59015125885056,-0.110555128271295,-0.384989274497366,0.00183566901445007
"dprime_pre","bprs_total",-0.297096650862785,0.0190295977149481,-0.543673905098264,-0.0505193966273058,-0.370977118705919,0.00299415264522949
"hradj_pre","bprs_pos",-0.359464784838018,0.00381073513575037,-0.598377255639124,-0.120552314036912,-0.36342982131859,0.00341487023272113
"hitrate_change","bprs_pos",0.310903867430282,0.0131343284670816,0.0675665805026802,0.554241154357883,0.316694330125585,0.0114451984572024
"fradj_pre","bprs_total",0.0739424395428948,0.567893014156118,-0.183587976960315,0.331472856046104,0.30558498636876,0.0157225012485148
"dprime_pre","bprs_hall",-0.297322654629157,0.0179593045529763,-0.541769991369669,-0.0528753178886456,-0.301190163353632,0.0164515511245931
"hradj_pre","bprs_hall",-0.28890534279173,0.0216529206556464,-0.534013380307139,-0.0437973052763214,-0.298203219054428,0.0176060202884057
"hitrate_change","bprs_hall",0.273648477471704,0.0299969598223751,0.0273954667305694,0.519901488212838,0.294521032885004,0.0191238764579737
"hradj_pre","bprs_total",-0.201225632869572,0.11681201519395,-0.4541807051164,0.0517294393772564,-0.239841158049324,0.0604380159823934
"c_change","bprs_hall",-0.182388325884175,0.152514834017156,-0.434119465240345,0.0693428134719957,-0.204300013372373,0.108252075695294
"hitrate_change","bprs_total",0.190788388513383,0.13744360726934,-0.0627054369743977,0.444282214001163,0.195536772739441,0.127741526898109
"fradj_pre","bprs_pos",0.00888949285234866,0.944872947535824,-0.247125955846026,0.264904941550723,0.180520779873051,0.156831661680792
"d_change","bprs_pos",0.121641793668765,0.342264447557937,-0.132482541929615,0.375766129267144,0.149067643958564,0.243605141117406
"fradj_pre","bprs_hall",0.0175420047074417,0.891459527067043,-0.238444164784238,0.273528174199121,0.142596357761515,0.264907213674846
"c_pre","bprs_pos",0.179052092056229,0.16028947870141,-0.072835995941442,0.4309401800539,0.141417296867578,0.268919217741138
"c_change","bprs_pos",-0.109378373686341,0.393468914867415,-0.363867832987177,0.145111085614495,-0.127103725025881,0.320863125269899
"c_pre","bprs_hall",0.143240413049359,0.262732752579772,-0.110144996363214,0.396625822461932,0.117481270199604,0.359149628370232
"c_pre","bprs_neg",0.00786784578367365,0.951200350704069,-0.248149794581749,0.263885486149096,0.104825809298537,0.413572024907414
"d_change","bprs_hall",0.106249323875196,0.407223295850993,-0.148327013416704,0.360825661167096,0.0983562486157054,0.443136387323455
"c_change","bprs_total",-0.0402608321600437,0.756037400434638,-0.298288792763357,0.21776712844327,-0.0868189630062687,0.502239887673775
"farate_change","bprs_hall",0.0384336755642897,0.764894585354393,-0.217402725666275,0.294270076794855,0.0839706379127449,0.512914168469661
"fradj_pre","bprs_neg",0.0339222778957701,0.791830804272076,-0.221955937576476,0.289800493368016,-0.0774893411511812,0.546079742534324
"hradj_pre","bprs_neg",-0.0608358083784223,0.635757409615616,-0.316387159326687,0.194715542569843,-0.0768681160103744,0.549312195317388
"d_change","bprs_total",0.0480240785211906,0.710890491502393,-0.209915300034996,0.305963457077377,0.0764789807613759,0.554649649762693
"farate_change","bprs_total",0.107874086441215,0.403968615004488,-0.1488563246524,0.364604497534829,0.0680142198008046,0.599406268159012
"d_change","bprs_neg",-0.004907045524741,0.969553145759331,-0.26092952793712,0.251115436887638,0.059526733485597,0.643057072244032
"c_change","bprs_neg",0.103958995226543,0.417465752880886,-0.150679316629616,0.358597307082702,-0.0500683880399907,0.696764274306156
"farate_change","bprs_pos",0.00892386044887185,0.944660154237683,-0.247091509876695,0.264939230774438,0.0430444353189473,0.737648994454597
"hitrate_change","bprs_neg",-0.0669474199353738,0.602141559115369,-0.322398592684479,0.188503752813731,0.0401853673683179,0.754508127906997
"farate_change","bprs_neg",-0.0639790590451587,0.618371356270801,-0.319480089303615,0.191521971213298,-0.0366884231862796,0.775284034009267
"dprime_pre","bprs_neg",-0.0787777943987742,0.539404923949321,-0.33400768309973,0.176452094302182,-0.0280689663672,0.827139178893433
"c_pre","bprs_total",0.00444283229802312,0.972660959431223,-0.253791957451002,0.262677622047048,0.00314477589614031,0.980646728231675
